"","number","game","release_date","price","owners","developer","publisher","average_playtime","median_playtime","metascore"
"66","5","Dota 2","Jul 9 2013",NA,"100000000 .. 200000000","Valve","Valve","1498","806","90"
"67","4","Brothers - A Tale of Two Sons","Sep 3 2013","14.99","1000000 .. 2000000","Starbreeze Studios AB","505 Games","0","0","90"
"68","6","Spelunky","Aug 8 2013","14.99","1000000 .. 2000000",NA,"Mossmouth","10","3","90"
"69","4","NBA 2K17","Sep 20 2016","59.99","500000 .. 1000000","Visual Concepts","2K","1","0","90"
"70","5","N++ (NPLUSPLUS)","Aug 25 2016","14.99","100000 .. 200000","Metanet Software Inc.","Metanet Software Inc.","0","0","90"
"71","3","Stephen's Sausage Roll","Apr 18 2016","29.99","20000 .. 50000","increpare games","increpare games","0","0","90"
"72","6","Tadpole Treble","Sep 2 2016","4.99","0 .. 20000","BitFinity","BitFinity Sunken Treasure Games","0","0","90"
"73","3","Bayonetta","Apr 11 2017","19.99","500000 .. 1000000","PlatinumGames","SEGA","25","8","90"
"74","4","Opus Magnum","Dec 7 2017","19.99","200000 .. 500000","Zachtronics","Zachtronics","0","0","90"
"75","5","Linelight","Jan 30 2017","9.99","50000 .. 100000","My Dog Zorro","My Dog Zorro","0","0","90"
"76","1","Into the Breach","Feb 27 2018","14.99","200000 .. 500000","Subset Games","Subset Games","0","0","90"
"77","7","Left 4 Dead","Nov 17 2008","9.99","5000000 .. 10000000","Valve","Valve","88","73","89"
"78","11","Mass Effect","May 28 2008","19.99","1000000 .. 2000000","BioWare","Electronic Arts","85","28","89"
"79","8","Far Cry","Apr 1 2008","9.99","500000 .. 1000000","Crytek Studios","Ubisoft","0","0","89"
"80","9","Max Payne","Jan 4 2008","9.99","500000 .. 1000000","Remedy Entertainment","Rockstar Games","0","0","89"
"81","10","Prince of Persia: The Sands of Time","Nov 21 2008","9.99","200000 .. 500000","Kudosoft","Ubisoft","7","2","89"
"82","10","Left 4 Dead 2","Nov 16 2009","9.99","10000000 .. 20000000","Valve","Valve","131","73","89"
"83","12","The Elder Scrolls III: Morrowind Game of the Year Edition","Jun 16 2009","14.99","1000000 .. 2000000","Bethesda Game Studios","Bethesda Softworks","207","69","89"
"84","13","STAR WARS Jedi Knight II - Jedi Outcast","Sep 16 2009","9.99","1000000 .. 2000000","Raven Software","LucasArts Lucasfilm Disney Interactive","0","0","89"
"85","11","Sacrifice","Aug 19 2009","9.99","50000 .. 100000","Shiny Entertainment","Interplay Inc.","0","0","89"
"86","4","Borderlands 2","Sep 17 2012","19.99","10000000 .. 20000000","Gearbox Software Aspyr (Mac) Aspyr (Linux)","2K Aspyr (Mac) Aspyr (Linux)","542","186","89"
"87","3","XCOM: Enemy Unknown","Oct 8 2012","29.99","2000000 .. 5000000","Firaxis Games Feral Interactive (Mac) Feral Interactive (Linux)","2K Feral Interactive (Mac) Feral Interactive (Linux)","0","0","89"
"88","7","Rayman Legends","Sep 3 2013","29.99","200000 .. 500000",NA,"Ubisoft","124","41","89"
"89","4","Rise of Nations: Extended Edition","Jun 12 2014","19.99","500000 .. 1000000","SkyBox Labs Big Huge Games","Xbox Game Studios","1","0","89"
"90","3","Descent 3","Apr 15 2014","9.99","0 .. 20000","Outrage Entertainment","Interplay Inc.","0","0","89"
"91","6","Pillars of Eternity","Mar 26 2015","29.99","1000000 .. 2000000","Obsidian Entertainment","Paradox Interactive","0","0","89"
"92","7","Fallout: A Post Nuclear Role Playing Game","Nov 1 2015","9.99","1000000 .. 2000000","Interplay Inc.","Bethesda Softworks","0","0","89"
"93","7","DARK SOULS III","Apr 11 2016","59.99","2000000 .. 5000000","FromSoftware Inc.","FromSoftware Inc. BANDAI NAMCO Entertainment","868","1066","89"
"94","9","Stardew Valley","Feb 26 2016","14.99","2000000 .. 5000000","ConcernedApe","ConcernedApe","499","566","89"
"95","8","Street Fighter V","Feb 15 2016","19.99","500000 .. 1000000","Capcom","Capcom","120","40","89"
"96","7","F1 2017","Aug 24 2017","59.99","200000 .. 500000","Codemasters Feral Interactive (Mac) Feral Interactive (Linux)","Codemasters Feral Interactive (Mac) Feral Interactive (Linux)","1","0","89"
"97","8","What Remains of Edith Finch","Apr 24 2017","19.99","200000 .. 500000","Giant Sparrow","Annapurna Interactive","5","1","89"
"98","6","Pinball FX3","Sep 26 2017","23.97","50000 .. 100000","Zen Studios","Zen Studios","0","0","89"
"99","9","Rez Infinite","Aug 9 2017","24.99","20000 .. 50000","Monstars Inc. Resonair","Enhance","0","0","89"
"100","2","Dead Cells","Aug 6 2018","24.99","1000000 .. 2000000","Motion Twin","Motion Twin","73","85","89"
"101","3","Return of the Obra Dinn","Oct 18 2018","19.99","100000 .. 200000","Lucas Pope","3909","0","0","89"
"102","4","The Curse of Monkey Island","Mar 22 2018","6.99","50000 .. 100000","LucasArts","LucasArts Lucasfilm Disney","0","0","89"
"103","3","Counter-Strike: Source","Nov 1 2004","9.99","10000000 .. 20000000","Valve","Valve","236","128","88"
"104","4","Sid Meier's Pirates!","Jul 11 2005","9.99","500000 .. 1000000","Firaxis Games","2K","0","0","88"
"105","10","Return to Castle Wolfenstein","Aug 3 2007","4.99","200000 .. 500000","Gray Matter Studios","Bethesda-Softworks","0","0","88"
"106","8","BioShock 2","Feb 9 2010",NA,"2000000 .. 5000000","2K Marin 2K China Digital Extremes 2K Australia Feral Interactive (Mac)","2K Feral Interactive (Mac)","0","0","88"
"107","7","F.E.A.R.","May 21 2010","54.99","1000000 .. 2000000","Monolith Productions Inc. Timegate","Warner Bros. Interactive Entertainment","0","0","88"
"108","8","LIMBO","Aug 2 2011","9.99","2000000 .. 5000000","Playdead","Playdead","141","84","88"
"109","7","Assassin’s Creed Brotherhood","Mar 22 2011","19.99","1000000 .. 2000000","Ubisoft Montreal","Ubisoft","0","0","88"
