"","ï..fide_id","name","federation","gender","title","yob"
"111","3602516","Velasquez Garcia Luis Moises","ECU","M","","1995"
"112","661430","Paravagna Alain","FRA","M","","1956"
"113","12986232","Stuelcken Philipp","GER","M","","2000"
"114","2945576","Andrade Rolando","BUL","M","","1990"
"115","1472747","Stefansson Atli Rafn","DEN","M","","1991"
"116","32714610","Faham Babak","IRI","M","","1972"
"117","24673765","Prox Oswald","GER","M","","1929"
"118","14222736","Mirzaev Islombek","UZB","M","","2011"
"119","4142098","Sharikov Leonid","RUS","M","","1940"
"120","20661177","Rosetta Pascal","FRA","M","","1969"
"121","12821608","Scerba Valerij","LTU","M","","1949"
"122","6375294","Saglam Umit","TUR","M","","1984"
"123","3955656","Montilva Muller Sebastian Daniel","VEN","M","","2007"
"124","551035430","Puc Fabrice","FRA","M","","1971"
"125","25829343","Aleiferi Aikaterini","GRE","F","","2005"
"126","25684434","Susanta Sarma H S V S K S H","IND","M","","2011"
"127","24286664","Akhmurzanov Damir","RUS","M","","2010"
"128","3711293","Meza Soto Fabian Ezequiel","PAR","M","","2001"
"129","4134842","Trofimov Viktor","RUS","M","","1953"
"130","24165107","Filatov Anatoly","RUS","M","","1939"
"131","21016453","Walawicz Jerzy","POL","M","","1960"
"132","3405710","Vilches Romero Eduardo","CHI","M","","1986"
"133","878642","Podgornik Massimo","ITA","M","","1961"
"134","2856358","Ovidi Marco","ITA","M","","2007"
"135","796638","Molnar Lajos","HUN","M","","1986"
"136","2205670","Timon Piote Vicente","ESP","M","","1976"
"137","14562154","Stojanovic Dino","CRO","M","","2007"
"138","165328","Prado Ignacio","ARG","M","","2002"
"139","1214543","Stoica Ion","ROU","M","","1944"
"140","34150161","Gontarenko Andrei","UKR","M","","2007"
"141","443808","Imykshenova Eugenia","ENG","F","","1978"
"142","32784589","Nikkhou Danyal","IRI","M","","2007"
"143","12988561","Pritsch Michael Dr.","GER","M","","1981"
"144","28523792","Giana Gian Pietro","ITA","M","","1963"
"145","28529332","Degli Atti Lorenzo","ITA","M","","2007"
"146","22287868","Azcona Esteras Fermin","ESP","M","","1998"
"147","14935686","Stutika Benjamin","SVK","M","","2002"
"148","13728075","Aidarkhan Mariyam","KAZ","M","","2006"
"149","256749","Tihulca Dan-Ionut","BEL","M","","1988"
"150","2859446","Pascolini Alessandra","ITA","F","","2005"
